employee_id,first_name,last_name,email,phone,gender,date_of_birth,home_city,home_state,zip_code,hire_date,termination_date,employment_status,termination_type,termination_reason,department,job_title,job_level,employment_type,work_location,manager_id,annual_salary,last_promotion_date,performance_rating,engagement_score,education_level,record_last_updated
E10019,Irina,Farrell,irina.farrell@brightleaf-retail.example,907-555-0165,Female,5/27/1963,Tolleson,AZ,85353,12/25/2006,,Active,,,Finance,Finance Manager,Manager,Full-Time,"HQ - Phoenix, AZ",E10162,"$114,250 ",9/19/2024,4,4.7,Associate's Degree,4/4/2026
E10020,Malik,Stanley,malik.stanley@brightleaf-retail.example,,Male,6/9/1983,Albuquerque,N.M.,87101,4/29/2007,1/31/2020,Terminated,Voluntary,Career Change,Merchandising,Merchandising Assistant,Entry,Full-Time,WFH,E10013,45100,,2,3.2,Associate,2/20/2020
E10021,Alexander,Tucker,ALEXANDER.TUCKER@BRIGHTLEAF-RETAIL.EXAMPLE,720.555.0167,Male,5/5/1978,Aurora,CO,80017,5/2/2007,5/21/2021,Terminated,Voluntary,,Customer Service,Senior Customer Service Representative,mid,Full-Time,"Regional Office - Denver, CO",E10007,49300,,3,3,Associate's Degree,6/15/2021
E10022,Carl,Fitzgerald,carl.fitzgerald@brightleaf-retail.example,,Male,7/20/1976,Phoenix,AZ,85003,12/9/2007,,Active,,,Information Technology,IT Manager,Manager,Full Time,Corporate - Phoenix,E10310 ,132600,12/27/2023,3,3.9,,7/27/2026
E10023,Stacy,O'Brien,stacy.obrien@brightleaf-retail.example,623-555-0173,Female,15-Apr-65,Phx,AZ,85040,12/24/2007,,Active,,,Marketing,VP of Marketing,VP,Full-Time,"HQ - Phoenix, AZ",E10095,"$210,850 ",,4,3.8,Master's Degree,6/21/2026
E10024,Sofia,Meyer,sofia.meyer@brightleaf-retail.example,623-555-0104,Female,3/15/1982,Gilbert,AZ,85276,12/24/2007,,Active,,,Finance,Financial Analyst,Mid-level,Full-Time,Remote,E10330,88200,12/15/2014,4,3.2,Bachelor's Degree,9/14/2026
E10025,Michelle,Lewis,michelle.lewis@brightleaf-retail.example,(623) 555-0169,Female,6-Jun-61,Goodyear,AZ,85352,16-Oct-08,,A,,,Executive,chief financial officer,C-Level,Part-Time,"HQ - Phoenix, AZ",E10075,"$195,400.00 ",,4,3.6,B.S.,21-Jul-26
E10026,Deborah,Nguyen,deborah.nguyen@mailhub.example,(623) 555-0174,Female,3/18/1973,Scottsdale,AZ,85259,10/20/2008,,Active,,,Marketing,Brand Manager,Manager,Full-Time,"HQ - Phoenix, AZ",E10325,113750,,3,4,Bachelor's Degree,3/25/2026
E10027,Ramon,Snyder,ramon.snyder@brightleaf-retail.example,4805550197,Male,12/1/1982,Gilbert,AZ,85266,11/5/2008,,Active,,,Marketing Dept,Digital Marketing Specialist,Mid-level,full time,Headquarters,E10018,67.9K,,3,4.4,Bachelor's Degree,8/22/2026
E10028,Lars ,Montgomery,lars.montgomery@brightleaf-retail.example,(972) 555-0195,Prefer not to say,22-Jul-80,Grand Prairie,TX,75051,11/21/2008,,Actv,,,Sales,Senior Account Executive,Sr.,Full-Time,"Regional Office - Dallas, TX",E10411,"$97,500 ",12/19/2023,2,1.9,Bachelor's Degree,7/24/2026
E10029,Daniela,Cox,daniela.cox@brightleaf-retail.example,919.555.0152,Female,1/10/1975,Raleigh,NC,27612,12/1/2008,,Active,,,Product Development,Product Analyst,Mid Level,Full-Time,Remote,E10518,82300,,3,4,Bachelor's Degree,6/10/2026
E10030,Lauren,Woods,lauren.woods@brightleaf-retail.example,(815) 555-0139,Female,15-Dec-65,Mesa,AZ,85213,22-Dec-08,,Active,,,Merchandising,Senior Buyer,senior,Full Time,"HQ - Phoenix, AZ",E10408,95000,8-Nov-17,3,3.2,Master's Degree,2-Nov-25
E10031,Wyatt,Graham,wyatt.graham@brightleaf-retail.example,917-555-0170,MALE,12/7/1981,Surprise,AZ,,12/29/2008,,Active,,,Product Development,UX Designer,Mid,Full-Time,"HQ - Phoenix, AZ",E10033,101800,30-Apr-10,5,3.5,Bachelor's Degree,17-Jun-26
E10032,Julian,Riley,julian.riley@brightleaf-retail.example,(770) 555-0153,M,11/7/1977,Littleton,Colorado,80127,1/14/2009,,Active,,,Information Technology,Senior Software Engineer,Senior,FT,Denver Office,E10022,139100,,4,3.6,Bachelor's Degree,5/29/2026
E10033,Layla,Allen,layla.allen@brightleaf-retail.example,3125550115,Female,4/29/1970,Chicago,IL,60641,7/28/2009,,A,,,Product Development,Senior Product Manager,Senior,Full-Time,remote,E10122,145600,,5,3.8,Bachelor's Degree,5/2/2026
E10034,Bradley,Serrano,bradley.serrano@brightleaf-retail.example,(214) 555-0179,Male,12/22/1975,Fort Worth,TX,76168,8/15/2009,,Active,,,Customer Service,Senior Customer Service Representative,Mid,Full-Time,"Regional Office - Dallas, TX",E10010,"$47,050 ",,Needs Improvement,3.4,High School,4/27/2026
E10035,Timothy,Arnold,timothy.arnold@brightleaf-retail.example,(509) 555-0172,Male,22-Jun-76,Denver,CO,80225,12/1/2009,,Active,,,Human Resources,HR Business Partner,Senior,Full-Time,"Regional Office - Denver, CO",E10810,"97,400",10/22/2017,5,4.8,Master's,8/31/2026
E10036,Sean,Gray,sean.gray@brightleaf-retail.example,,Prefer not to say,7/1/1977,Tolleson,AZ,85353,2/1/2010,,Active,,,Merchandising,Buyer,Intermediate,Full-Time,"HQ - Phoenix, AZ",E10030,"82,400 USD",,4,3.2,Associate's Degree,7/29/2026
E10037,David,Saunders,david.saunders@brightleaf-retail.example,303 555 0166,Male,4/1/1965,Aurora,CO,80015,4/26/2010,,Active,,,Store Operations,Store Manager,Manager,Full-Time,"Store 020 - Aurora, CO",E10083,"81,700",1/23/2012,3,2.7,Bachelor's Degree,10/1/2025
E10038,Kelly,Ortega,kelly.ortega@brightleaf-retail.example,936-555-0110,Female,11/5/1968,Peoria,AZ,85383,5/3/2010,,Actv,,,Store Operations,Stock Associate,Entry,Full-Time,Store #8 Peoria,E10711,35150,,4,,Bachelor's Degree,7/8/2026
E10039,Philip,Cruz,philip.cruz@brightleaf-retail.example,5055550142,Male,9/18/1980,Rio Rancho,NM,87129,8/16/2010,,Actv,,,Human Resources,HR Business Partner,Senior,Full-Time,Remote,E10374,"98,800 USD",,5,4.4,Bachelor's Degree,5/20/2026
E10040,Heather,Ruiz,heather.ruiz@brightleaf-retail.example,615.555.0116,Female,2/18/1977,Nashville,TN,37218,8/23/2010,,Active,,,Marketing,Brand Manager,Manager,Full-Time,Remote,E10325,101100,,3,3.4,Doctorate,3/31/2026
E10041,Carlos,Sanchez,carlos.sanchez@brightleaf-retail.example,480-555-0154,Male,8/8/1985,Mesa,AZ,85207,9/20/2010,,ACTIVE,,,Merchandising,Merchandising Assistant,Entry,Full-Time,"HQ - Phoenix, AZ",E10036,"$44,600 ",,4,3.5,Bachelor's Degree,3/9/2026
E10042,Joseph,SALAZAR,joseph.salazar@brightleaf-retail.example,,Male,24-Oct-73,Arlington,TX,76016,11-Oct-10,,Active,,,Store Operations,Department Supervisor,Mid Level,Full-time,"Store 016 - Arlington, TX",E10220,"44,250",,4,2.8,,8/23/2026
E10043,Jiwoo,Daniels,jiwoo.daniels@brightleaf-retail.example,(910) 555-0110,Female,12/25/1980,Phoenix,AZ,85004,12/1/2010,,Active,,,Sales Dept,Account Executive,Mid,Full-Time,"HQ - Phoenix, AZ",E10028,78250,,3,3.6,Bachelor's Degree,6/8/2026
E10044,Debra,Dixon,debra.dixon@brightleaf-retail.example,(814) 555-0195,Female,6/27/1981,mesa,AZ,85208,12/4/2010,,Active,,,marketing,Digital Marketing Specialist,Mid,Full-Time,"HQ - Phoenix, AZ",E10026,"$63,950 ",,3,3.8,Bachelor's Degree,4/4/2026
E10045,Kelly,Johnson,kelly.johnson@brightleaf-retail.example,609.555.0169,Female,1/18/1979,Mesa,AZ,85205-8486,20-Jan-11,,ACTIVE,,,Store Operations,Assistant Store Manager,Senior Level,Part-Time,"Store 003 - Mesa, AZ",E10037,"$39,850.00 ",7/27/2015,Outstanding,4.9,Bachelors,26-Jul-26
E10046,Zainab,Castaneda,zainab.castaneda@brightleaf-retail.example,8165550173,Female,4/2/1988,Kansas City,Missouri,64155,1/24/2011,,Active,,,Product Development,QA Analyst,Mid,Full-Time,REMOTE,E10033,77250,,4,4.9,Bachelor's Degree,9/19/2026
E10047,Joyce,Lee,joyce.lee@brightleaf-retail.example,(618) 555-0105,Female,5/22/1985,Phoenix,AZ,85039,2/20/2011,,ACTIVE,,,Human Resources,HR Coordinator,Entry Level,Full-Time,"HQ - Phoenix, AZ",E10470,"$47,200 ",,Exceeds,4,Associate's Degree,5/19/2026
E10048,Billy,Curry,billy.curry@brightleaf-retail.example,6025550166,Male,12/9/1974,Phoenix,AZ,85040,8/1/2011,7/17/2020,Terminated,Voluntary,Relocation,Information Technology,Software Eng.,mid,Full Time,"HQ - Phoenix, AZ",E10032,"$117,250 ",,5,3.2,Bachelor's Degree,7/18/2020
E10049,Christine,Duran,christine.duran@brightleaf-retail.example,602-555-0190,Female,1/20/1978,Goodyear,Ariz.,85371,8/15/2011,,Active,,,finance,Senior Accountant,senior,Full-Time,"HQ - Phoenix, AZ",E10019,"$88,150 ",11/11/2015,3,3.2,Doctorate,6/16/2026
E10050,Diego,Young,diego.young@brightleaf-retail.example,(720) 555-0147,Male,19-Aug-70,Arvada,CO,80006,10-Oct-11,,Active,,,Logistics,Warehouse Manager,Manager,Full-time,"DC - Aurora, CO",E10188,"$81,750.00 ",,3,2.8,Master's Degree,5-May-26
E10051,DYLAN,Green,dylan.green@brightleaf-retail.example,303-555-0124,MALE,9/17/1982,Thornton,CO,,10/17/2011,,Active,,,SC&L,Warehouse Manager,Manager,Full-Time,"DC - Aurora, CO",E10188,"$87,500.00 ",6/5/2017,1,3.3,Bachelor's,12/23/2025
E10052,Kiara,Andrews,kiara.andrews@brightleaf-retail.example,614 555 0151,Female,1/15/1964,Phoenix,AZ,85021,1/2/2012,,ACTIVE,,,Store Operations,Stock Associate,Entry,FT,"Store 004 - Chandler, AZ",E10042,34600,,3,4.1,Bachelor's,6/29/2026
E10053,Raul,Ryan,raul.ryan@brightleaf-retail.example,(480) 555-0138,Male,1/28/1982,Chandler,AZ,85231,1/9/2012,,ACTIVE,,,Human Resources,HR Business Partner,,Full-Time,HQ,E10810,"85,500",,2,3.2,Masters,5/16/2026
E10054,Diane,Dawson,DIANE.DAWSON@BRIGHTLEAF-RETAIL.EXAMPLE,505.555.0146,Female,4/4/1963,Rio Rancho,NM,87144,2/14/2012,,Active,,,Store Operations,District Manager,Director,Full-time,"Store 022 - Albuquerque, NM",E10167,119050,,2,3.1,Master's Degree,7/23/2026
E10055,Margaret,KING,margaret.king@mailhub.example,+1 801 555 0132,Female,7/16/1989,Salt Lake City,UT,84109,2/20/2012,,Active,,,Store Ops,Department Supervisor,Mid,F/T,"Store 023 - Salt Lake City, UT",E10045,"$46,550.00 ",,3,2.7,HS,4/30/2026
E10056,Matthew,Horton,matthew.horton@brightleaf-retail.example,+1 720 555 0186,Male,12/11/1980,Thornton,CO,,3/23/2012,,Active,,,Merchandising,Buyer,Mid,Full-Time,"Regional Office - Denver, CO",E10030,72850,,4,4.7,Bachelor's Degree,9/13/2026
E10057,Arthur,Hawkins,arthur.hawkins@brightleaf-retail.example,(732) 555-0125,Male,11/14/1976,Grand Prairie,TX,75051,3/26/2012,,Actv,,,Technology,Senior Software Engineer,Senior,Full-Time,Remote,E10022,"$152,600 ",,2,3.2,Bachelor's,4/8/2026
E10058,amy,Johnston,amy.johnston@brightleaf-retail.example,817.555.0134,Female,11/10/1970,Dallas,TX,75251,5/14/2012,,Active,,,Merchandising,Senior Buyer,Senior,Full-Time,"Regional Office - Dallas, TX",E10465,"$97,200 ",,3,4.3,,5/11/2026
E10059,Hope,Ngo,hope.ngo@brightleaf-retail.example,6025550111,Female,21-Aug-66,scottsdale,AZ,85259,21-May-12,,Active,,,Customer Service,Director of Customer Experience,Director,Full-Time,hq phoenix,E10095,129450,,4,5,bachelors degree,22-Apr-26
E10060,matthew,Gordon,matthew.gordon@brightleaf-retail.example,303.555.0165,Male,19-Jun-92,Aurora,Colorado,80017,6/3/2012,,Active,,,Supply Chain & Logistics,Warehouse Associate,Entry,Part-Time,"Regional Office - Denver, CO",,"$22,750 ",,1,3,GED,9-Apr-26
E10061,Hector,Smith,hector.smith@brightleaf-retail.example,623-555-0170,Male,5/4/1984,Tolleson,AZ,85353,6/8/2012,,A,,,Supply Chain & Logistics,Inventory Control Specialist,Mid,Full-Time,"DC - Tolleson, AZ",E10146,55650,,3,2.6,High School,8/2/2026
E10062,Wei,Reed,wei.reed@brightleaf-retail.example,(480) 555-0113,M,1/31/1983,Scottsdale,AZ,85258,8/1/2012,12/24/2019,Terminated,Voluntary,Workload,MARKETING,Digital Marketing Specialist,Mid Level,Full-Time,HQ,E19943,"$66,800 ",,4,3.9,Bachelor's Degree,1/17/2020
E10063,Bethany,Reeves,bethany.reeves@mailhub.example,(857) 555-0190,Female,5/18/1977,Arlington,TX,76010,8/27/2012,,Active,,,Store Operations,District Manager,Director,Full-Time,"Store 015 - Fort Worth, TX",E10167,121150,,2,3.9,Master's Degree,2/22/2026
E10064,Zachary,Kim,zachary.kim@brightleaf-retail.example,512-555-0179,Male,22-Nov-80,Cedar Park,TX,78613-7068,9/24/2012,19-Jul-19,Terminated,Voluntary,Burnout,Stores,Asst. Store Mgr,senior,Full-Time,store 18 - round rock,E10037,"61,550",,5,3.9,BS,8/4/2019
E10065,Ingrid,Sato,ingrid.sato@brightleaf-retail.example,512-555-0123,F,4/26/1994,Austin,TX,78710,18-Feb-13,,Active,,,Store Ops,Stock Associate,Entry,Part-Time,"Store 017 - Austin, TX",E10055,"18,150",,4,4.3,,3/24/2026
E10066,Tuan,Adeyemi,tuan.adeyemi@brightleaf-retail.example,214-555-0138,Male,3/31/1975,Oro Valley,AZ,85741,19-May-13,,Active,,,FINANCE,Senior Accountant,senior,Full-Time,Remote,E10019,89400,10/26/2024,1,3.1,Bachelor's Degree,7/28/2026
E10067,Beverly,Wright,beverly.wright@brightleaf-retail.example,(623) 555-0108,Female,4/22/1979,Phoenix,AZ,85027,7/15/2013,,ACTIVE,,,Supply Chain & Logistics,Warehouse Manager,Manager,Full-Time,"HQ - Phoenix, AZ",E10188,86800,,2,2.4,Master's Degree,6/11/2026
E10068,Bridget,Watkins,bridget.watkins@brightleaf-retail.example,602-555-0135,Female,1/13/1981,Goodyear,Arizona,,9/9/2013,6/15/2020,Terminated,,N/A,Sales,Senior Account Executive,Senior,Full-Time,"HQ - Phoenix, AZ",,105450,10/30/2019,2,3.5,,6/28/2020
E10069,Angela,Chen,angela.chen@brightleaf-retail.example,602-555-0189,Female,1/29/1985,Mesa,az,85210,9/25/2013,,Active,,,Sales,Account Executive,Mid,F/T,"HQ - Phoenix, AZ",E10028,82250,,3,4.4,BA,7/13/2026
E10070,Sara,Munoz,sara.munoz@mailhub.example,469-555-0193,Female,9/12/1974,Irving,TX,75041,9/30/2013,9/6/2024,Terminated,VOLUNTARY,workload,Store Operations,Store Manager,Manager,Full-Time,"Store 014 - Plano, TX",E10054,"79,200 USD",,4,3.8,Bachelor's Degree,9/24/2024
E10071,Angela,shelton,angela.shelton@brightleaf-retail.example,,Female,13-Aug-79,Tolleson,AZ,85353,10/17/2013,,Active,,,Cust Service,Customer Service Manager,Manager,Full Time,"HQ - Phoenix, AZ",E10059,"85,850",,4,3.5,Bachelor's Degree,12/19/2025
E10072,Alejandra,Hines,alejandra.hines@brightleaf-retail.example,(480) 555-0165,Female,2/17/1987,Phoenix,Arizona,85026,10/21/2013,,Active,,,Sales,Senior Account Executive,Senior,Full Time,"HQ - Phoenix, AZ",E10739,103200,,2,2.8,,7/30/2026
E10073,Alexander,Soto,,,Male,24-Jan-70,atlanta,GA,30325,11-Nov-13,,Active,,,,Director of Product,Dir,FT,Remote - US,E10511,185700,,Meets,4.9,,9-Apr-26
E10074,leonardo,Taylor,leonardo.taylor@brightleaf-retail.example,256-555-0154,Male,1/18/1969,Littleton,CO,80123,11/25/2013,6/15/2019,Terminated,Voluntary,Better Opportunity,,Director of Logistics,Director,Full-Time,Denver Regional,E10124,"$137,800.00 ",,1,3.7,Doctorate,6/21/2019
E10075,Lawrence,Kane,lawrence.kane@brightleaf-retail.example,(317) 555-0104,Male,3/17/1971,Tempe,AZ,85282,12/16/2013,,Active,,,Executive,Chief Executive Officer,C-Level,Full-Time,HQ,,368150,,3,4.2,Bachelor's Degree,5/21/2026
E10076,Grant,Simmons,grant.simmons@brightleaf-retail.example,(480) 555-0179,Male,10/22/1984,Glendale,AZ,85304,1/6/2014,,A,,,Merchandising,Buyer,Mid,Full-Time,"HQ - Phoenix, AZ",E10058,"$84,200 ",11/17/2024,2,3.3,Bachelor's Degree,8/11/2026
E10077,Marco,Rodgers,marco.rodgers@brightleaf-retail.example,(623) 555-0188,Male,11/4/1987,Tolleson,Arizona,85353,1/13/2014,6/26/2024,Terminated,Voluntary ,Family/Personal,Supply Chain & Logistics,Warehouse Associate ,Entry Level,F/T,dc - tolleson,E10061,"$37,150.00 ",,2,3.1,Bachelor's Degree,7/21/2024
E10078,Stephen,Thorne,stephen.thorne@brightleaf-retail.example,,Male,4/29/1993,Glendale,AZ,85304,21-Jan-14,,Active,,,Store Operations,Cashier,Entry,Full-Time,"Store 001 - Phoenix, AZ",E10042,"32,550 USD",,3,3.4,Associate's Degree,12/9/2025
E10079,Rebecca,Chambers,rebecca.chambers@brightleaf-retail.example,623 555 0186,Female,10/20/1976,Phoenix,AZ,85035,1/25/2014,,Active,,,Customer Service,Support Team Lead,Sr,full time,Corporate - Phoenix,E10071,56700,,2,,Master's Degree,6/28/2026
E10080,Noah,Ferguson,,(937) 555-0131,Male,2/14/1985,Peoria,AZ,85379,2/17/2014,,A,,,Store Operations,Assistant Store Manager,Senior,Full-Time,STORE 008,E10037,61.2K,11/1/2016,4,3.6,Masters,1/17/2026
E10081,Neil,Payne,neil.payne@brightleaf-retail.example,5055550143,Male,3/10/1983,Arvada,CO,80003,3/3/2014,,Active,,,Supply Chain & Logistics,Logistics Coordinator,Mid,Full-Time,"DC - Aurora, CO",E10550,"$58,850.00 ",3/7/2022,3,2.9,High School,8/13/2026
E10082,Jesse,Flores,jesse.flores@brightleaf-retail.example,(480) 555-0170,Male,3/17/1985,Surprise,AZ,85380,4/14/2014,,Active,,,Information Technology,Software Engineer,Mid,Full-Time,Phoenix HQ,E10057,"$105,050 ",,3,4.5,Associate's Degree,19-Mar-26
E10083,Miguel,Rojas,miguel.rojas@brightleaf-retail.example,(267) 555-0108,Male,9/21/1960,Albuquerque,New Mexico,87123,5/6/2014,,Active,,,Store Operations,District Manager,Director,Full-Time,"Store 022 - Albuquerque, NM",E10167,104100,,3,4.2,Master's Degree,5/9/2026
E10084,Sean,Walsh,sean.walsh@brightleaf-retail.example,8135550163,Male,,Tampa,FL,33604,5/19/2014,,Active,,,Sales,Senior Account Executive,Senior,Full-Time,REMOTE,E10791,112.1K,1/24/2022,5,5,BS,21-Aug-26
E10845,Shauna,Olson ,shauna.olson@brightleaf-retail.example,(707) 555-0191,Female,3/20/1990,Phoenix,AZ,85033,7/26/2024,,Active,,,Supply Chain & Logistics,Supply Chain Analyst,Senior Level,FT,"HQ - Phoenix, AZ",E-10067,"$73,850 ",,2,3.7,,7/27/2026
 E10085,Dana,Fitzpatrick,dana.fitzpatrick@brightleaf-retail.example,602 555 0145,Female,1/9/1979,Phoenix,AZ,,6/2/2014,,Active,,,Sales Dept,senior account executive,Senior Level,full time,"HQ - Phoenix, AZ",E10399,"112,300",,3,2.9,B.S.,8/30/2026
E-10086,William,Cross,william.cross@brightleaf-retail.example,(214) 555-0105,Male,4/17/1968,Plano,TX,75088,6/9/2014,,Active,,,Store Operations,Store Manager,Manager,Full-Time,Fort Worth Store (015),E10063,"76,050",,2,4.6,Master's Degree,4/11/2026
E10087,SARAH,Swanson,sarah.swanson@brightleaf-retail.example,7315550174,Female,,Phoenix,AZ,85019,13-Jun-14,,Active,,,Customer Service,Support Team Lead,Senior,Full-Time,"HQ - Phoenix, AZ",E10071,60900,,3,3,Bachelor's Degree,21-Jun-26
E10088,David,Vaughn,david.vaughn@brightleaf-retail.example,(713) 555-0138,Male,1/7/1984,Phoenix,AZ,85004,6/17/2014,,Active,,,Sales,Account Executive,Mid-level,Full-Time,"HQ - Phoenix, AZ",E10084,88600,11/28/2019,3,3.4,Bachelor's Degree,8/23/2026
E10089,Andres,Boyd,andres.boyd@brightleaf-retail.example,239.555.0147,Male,15-Jul-85,Denver,CO,80211,14-Jul-14,,active,,,Finance,Staff Accountant,Mid-level,Full-Time,"Regional Office - Denver, CO",E10066,"$70,250.00 ",,4,3.6,High School,24-Jun-26
E10090,Joshua,Conti,joshua.conti@brightleaf-retail.example,708-555-0155,Male,2/10/1974,Goodyear,AZ,85353,7/28/2014,5/26/2023,Separated,Voluntary,,Customer Support,Customer Service Representative,Entry,Part-Time,Corporate - Phoenix,E10021,"$25,750 ",,Meets,2.6,High School,6/9/2023
E10091,SARA,Sherman,sara.sherman@brightleaf-retail.example,602-555-0164,Female,12/28/1984,Phoenix,AZ,85018,8/4/2014,1/13/2023,Terminated,Voluntary,,Merchandising,Merchandising Assistant,,Full-Time,Remote,E10076,"$48,050.00 ",,3,4,bachelors degree,1/19/2023
E10092,Linh,Reyes,linh.reyes@brightleaf-retail.example,817-555-0142,Female,4/30/1986,Grand Prairie,TX,75053,8/4/2014,,Active,,,Stores,Cashier,Entry,Full-Time,"Store 015 - Fort Worth, TX",E10055,"35,000",,Meets,3.6,High School,4/24/2026
E10093,Janice,Bryant,janice.bryant@brightleaf-retail.example,623-555-0164,female,2/26/1983,Avondale,AZ,85333,8/18/2014,,Actv,,,Store Operations,Stock Associate,Entry,Full-Time,"Store 004 - Chandler, AZ",E10042,"33,850",,3,3.3,,9/10/2026
E10094,Walter,Leach,walter.leach@brightleaf-retail.example,801-555-0170,Male,6/10/1983,Salt Lake City,UT,84102,10/4/2014,3/1/2019,Terminated,voluntary,Comp,Store Operations,Cashier,Entry,Full-Time,"Store 023 - Salt Lake City, UT",E10055,34150,,Exceeds,2.3,HS,3/1/2019
